alpha,20373,2
"the alpha and omega",26959,1
alphabet,36732,4
alphabetization,108517,1
Alsatian,11698,1
altar,22844,3
"led to the altar",32986,1
"left at the altar",24526,1
alteration,33255,4
altercation,15785,2
"alter ego",21729,1
alternation,108518,4
alternate,3062,4
alternator,31744,2
altimeter,13800,1
altitude,18521,4
alto,38474,2
altruism,33835,1
alum,13281,1
aluminum,16166,2
alumna,15063,1
alumnus,14878,2
amalgam,21656,1
amalgamation,110304,1
amateur,30530,4
amateurism,101362,1
amazement,25392,4
ambassador,32126,4
amber,19851,3
ambidextrousness,96900,1
ambience,16600,2
ambiguity,2827,4
ambit,10536,1
ambition,6007,5
ambivalence,103555,2
ambulance,43152,4
ambush,34108,2
amelioration,107284,1
amendment,23527,4
amends,103347,2
amenity,6385,3
Amerasian,12165,1
Americana,40689,1
Americanism,25945,1
"the American League",2343,1
"the American Revolution",35343,1
"American Sign Language",35033,1
Amerindian,22761,1
amethyst,31118,1
amiability,91780,1
amicability,91455,1
amigo,3270,2
amity,30444,1
ammo,22082,2
ammonia,24848,3
ammunition,35291,4
amnesia,18878,2
amnesiac,86272,1
amnesty,11398,3
amniocentesis,24103,1
amoeba,13495,1
amorality,95644,1
amorousness,103835,1
amortization,108225,1
amour,23358,1
amp,24313,3
amperage,17343,1
ampere,12407,1
ampersand,29335,1
amphetamine,15284,1
amphibian,28754,1
amphitheater,18482,1
amplifier,33859,3
amplification,97188,4
amplitude,19257,1
ampule,36202,2
amputation,105909,2
amputee,25075,1
amulet,14269,2
amusement,25714,4
anachronism,17734,2
anaconda,24604,1
anagram,39159,2
analgesia,40265,1
analgesic,24850,1
analogue,2035,4
analogy,34030,4
"in the final analysis",19779,1
analyst,2259,4
anarchism,26714,1
anarchist,35458,2
anarchy,37905,2
anathema,15409,1
anatomy,9614,3
anatomist,86391,1
ancestor,26118,4
ancestry,17290,4
anchor,20797,4
anchorage,37813,4
anchorite,36809,1
anchorman,13493,1
anchorwoman,5731,1
anchovy,39107,1
andante,7402,1
andiron,12439,1
androgyny,95254,1
android,23774,2
anecdote,8224,4
anemia,23574,2
anemone,17621,1
anesthesia,37453,2
anesthesiologist,41343,2
anesthetic,33873,2
anesthetist,6305,1
angel,22267,4
angina,31479,2
angler,9342,1
Anglican,470,3
Anglicanism,34979,1
Anglo,24028,1
Anglophile,20109,1
Anglophobe,1347,1
Anglo-Saxon,13156,3
angora,40591,2
angst,35691,2
anguish,24586,4
angularity,96937,1
animation,19230,4
animator,26460,1
anime,37312,1
animism,32485,1
animosity,20652,2
animus,10421,1
anise,3586,2
aniseed,12998,1
anisette,38157,1
ankle,25332,5
anklet,16730,1
annals,12313,2
annexation,103453,4
annex,25770,4
annihilation,103860,2
anniversary,22986,5
annotation,32051,1
announcer,35833,2
annoyance,10063,4
annuity,2656,1
annulment,107040,2
"the Annunciation",25149,1
anode,22398,1
anointment,109046,1
anomaly,5287,2
anonymity,18552,4
anorak,24075,1
anorexia,17238,3
anorexic,86379,2
"A. N. Other",3566,1
answerphone,13214,1
ant,20445,4
"ants in your pants",15992,1
antacid,32459,2
antagonism,30585,4
antagonist,2999,4
"the Antarctic Circle",31659,1
ante,23268,2
anteater,26938,1
antecedent,24130,1
antechamber,22682,1
antelope,29987,2
antenna,25913,4
anteroom,42909,1
anthem,32329,3
anther,5472,1
anthill,31887,1
anthology,24257,2
anthracite,38986,1
anthrax,15268,2
anthropology,5306,3
anthropologist,86365,3
antibiotic,1995,4
antibody,366,2
anticipation,29036,4
anticlimax,2385,1
anticoagulant,6509,1
antics,26618,2
anticyclone,24401,1
antidepressant,8543,2
antidote,27324,2
antifreeze,20516,1
antigen,1188,1
antihero,31061,1
antihistamine,37587,2
antimony,22439,1
antioxidant,7789,1
antipasto,3713,1
antipathy,39281,1
antiperspirant,19339,1
antipodes,114002,1
antiquarian,2851,1
antiquary,26763,1
antique,31674,4
antiquity,12416,3
anti-Semite,82729,1
antiseptic,24495,1
antithesis,30589,1
antler,31678,2
antonym,6494,4
anvil,41862,2
anxiety,32712,4
anxiousness,103875,1
aorta,16582,1
Apache,35510,1
apartheid,25954,3
apathy,38020,3
ape,5843,4
aperitif,10792,1
aperture,4581,1
apex,42082,3
aphid,23698,1
aphorism,23222,1
aphrodisiac,24468,2
aplomb,30367,1
apocalypse,23716,2
apogee,25919,1
apologist,39164,1
apology,8904,4
apoplexy,6016,1
apostate,14319,1
apostasy,104000,1
apostle,18036,2
apostrophe,34230,2
apothecary,266,1
apotheosis,8589,1
app,5955,5
apparatchik,2488,1
apparatus,16750,4
apparel,16378,2
apparition,8726,2
appeal,10186,5
appeasement,108130,4
appellant,24911,3
appellation,1,1
appendage,35412,2
appendectomy,42900,2
appendicitis,35496,2
appendix,5757,4
appetite,14440,4
appetizer,22029,2
applause,30455,4
"the apple of someone's eye",30340,1
"(as) American as apple pie",24420,1
"in apple-pie order",33383,1
"apple polisher",15533,1
applesauce,21798,2
appliance,17038,4
applicability,97467,1
applicant,41814,4
applicator,39096,1
appliqué,37050,1
appointee,86357,1
apportionment,108053,1
apposition,19722,1
appraisal,35692,4
appraiser,86340,1
appreciation,10158,4
apprehension,3553,3
apprehensiveness,104006,1
apprentice,32536,4
apprenticeship,12989,3
approachability,91452,1
approbation,23032,1
appropriateness,91082,1
appropriation,22301,4
approximation,14801,4
appurtenance,36558,1
APR,36704,1
apricot,12607,2
April,21263,4
"April Fools' Day",23340,1
apron,4495,4
apse,10904,1
aptness,91078,1
aptitude,31316,4
aqua,17577,2
aquamarine,24120,1
aquarium,39363,3
Aquarius,35142,1
aqueduct,4167,1
aquifer,36652,1
Arab,17634,3
arabesque,27285,1
Arabic,31014,3
arachnid,8760,2
arbiter,17087,1
arbitrage,8473,1
arbitrager,86436,1
arbitrariness,91535,1
arbitration,3484,4
arbitrator,14405,3
arbor,38989,2
arboretum,18051,2
arc,50,4
arcade,10291,3
arcadia,17375,1
arch,26862,4
archness,91802,1
archaeology,29069,3
archeologist,84184,1
archaism,27212,1
archangel,12550,1
archbishop,21085,3
archbishopric,32405,1
archconservative,20934,1
archdeacon,31912,3
archdiocese,40888,1
archduchess,6251,1
archduke,14952,1
archenemy,1155,2
archer,34159,2
archery,798,1
archetype,12981,1
archipelago,32068,1
architect,9645,5
architecture,13666,5
archive,6227,4
archivist,1321,1
archrival,319,1
archway,9020,1
ardor,26631,1
arduousness,91026,1
"in the area of",27019,1
arena,43122,4
argon,5456,2
argot,10109,1
arguer,86977,1
argumentation,21760,4
aria,22017,2
aridity,97414,1
Aries,37768,1
aristocracy,31241,4
aristocrat,148,4
arithmetic,43052,4
Ark,25302,1
"an arm and a leg",6781,1
"the long arm of the law",17716,1
"lay down your arms",23855,1
armada,23361,1
armadillo,6171,1
Armageddon,34487,1
armament,21308,4
armature,36571,1
armband,9831,1
armchair,7907,3
armful,21823,1
armhole,9642,1
armistice,33025,1
"Armistice Day",23492,1
armload,32480,1
armoire,22406,1
armor,3117,2
armorer,38141,1
armory,18423,2
armpit,9051,1
armrest,16839,1
aroma,22700,3
aromatherapy,37252,1
arousal,94584,4
arpeggio,3522,1
arraignment,104691,2
arranger,22476,1
array,6693,4
arrears,27483,3
arrogance,36229,4
arrow,41513,4
arrowhead,13965,2
arrowroot,41570,1
arsenal,10070,3
arsenic,41956,2
arson,12881,3
arsonist,86457,2
arteriosclerosis,33678,1
artery,7692,4
artfulness,95547,1
arthritis,20265,3
arthritic,86411,1
artichoke,25813,2
articulateness,91806,1
articulation,4149,4
artifact,21679,4
artifice,2100,1
artificiality,90806,1
artillery,29109,4
artisan,4800,1
artiste,7160,2
artistry,26782,2
artlessness,95532,1
"art theater",24716,1
artwork,32801,3
arugula,27750,2
asbestos,9241,3
ascendance,19209,4
ascendancy,24426,1
ascension,26112,2
ascent,14311,3
asceticism,95851,1
ASCII,17381,1
ascot,26320,2
ash,4428,4
ashram,19836,2
ashtray,41817,2
"Ash Wednesday",38240,1
Asian,24630,3
asp,10713,1
asparagus,39654,2
aspect,30806,5
aspen,34310,2
asperity,1388,1
asphalt,7516,2
asphyxia,24717,1
asphyxiation,101791,2
aspic,12245,1
aspirant,13967,1
aspirate,8766,1
aspiration,10493,4
aspirin,33834,3
assailant,19916,2
assassin,28589,4
assassination,98092,4
assault,15070,4
assemblage,20114,1
assembly,20185,4
assemblyman,6617,1
assemblywoman,34629,1
assertion,98029,4
assertiveness,96249,2
assessment,18254,5
assessor,389,1
asset,8551,4
assiduity,95575,1
assiduousness,95577,1
assignor,86425,1
assignation,16206,1
assignment,23715,5
assimilation,99563,4
"associate's degree",36745,1
"Association football",38018,1
assonance,41935,1
assortment,22464,4
assumption,7506,4
assurance,39152,4
aster,4203,1
asterisk,8358,1
asteroid,14881,2
asthma,7855,3
astigmatism,5576,1
astonishment,16389,4
astrakhan,9951,1
astringency,96383,1
astrology,7533,1
astrologer,86430,1
astronaut,33659,4
astronomy,5853,4
astronomer,86432,4
astrophysics,29649,2
astrophysicist,86505,1
astuteness,94335,1
asylum,18588,4
asymmetry,96995,1
atelier,31213,1
atheist,26638,1
atheism,100872,1
athlete,17357,5
athleticism,7141,1
athletics,38077,3
"athletic supporter",38202,1
Atlantis,4244,1
atlas,40158,4
ATM,6206,1
atoll,36387,1
atom,25372,4
atomizer,3710,1
atonement,103373,2
atrium,8980,2
atrocity,3425,4
atrophy,7584,1
attaché,32013,1
"on attachment",1509,1
attacker,86507,3
attainment,14054,4
"an attempt on someone's life",31337,1
attendant,34770,4
attendee,11569,1
attender,9828,1
attentiveness,91508,1
attenuation,95429,1
attestation,97940,1
attic,40375,4
attire,18045,1
attorney,17159,4
attractiveness,91242,3
attribution,102731,1
attribute,27589,4
attrition,20303,1
ATV,37961,1
aubergine,26155,1
auction,4201,4
auctioneer,37021,4
audaciousness,90159,1
audacity,28369,2
audibility,95260,1
audio,25466,4
audiotape,2082,2
audit,16869,4
audition,9263,2
auditor,30480,4
auditorium,37509,4
auger,40184,2
augmentation,105187,4
august,13268,5
August,37034,4
auk,15302,2
auntie,3098,4
aura,21032,3
auspices,110194,3
"under the auspices of",36996,1
auspiciousness,96217,1
Aussie,33057,1
austerity,4779,3
Australian,14069,3
Austrian,25571,3
authenticity,90620,4
authentication,104231,1
authoress,9433,1
authoritarianism,108094,1
authority,18284,5
"have it on good/excellent authority",37078,1
authorization,108275,4
authorisation,96304,1
authorship,16593,1
autism,23508,2
auto,10557,4
autobiography,7592,4
autobiographer,86514,1
autocracy,21447,1
autocrat,40864,1
autograph,20725,2
automaker,9422,1
automation,84542,4
"automated teller",7992,1
automatic,15455,4
"automatic teller machine",15199,1
automaton,1370,2
automobile,23500,2
autonomy,22380,4
autopilot,35150,1
autopsy,10441,2
auxiliary,6303,4
avail,24285,4
availability,91063,4
avalanche,39593,2
avarice,20190,1
avatar,22211,2
avenger,86520,2
avenue,24411,4
aversion,6432,4
aviary,32048,1
aviation,19621,4
aviator,18864,1
avidity,104112,1
avocado,37266,2
avocation,20872,1
avoidance,14668,4
avowal,29364,1
awakening,110276,2
awe,11264,4
awfulness,90646,1
awkwardness,90533,2
awl,26271,1
awning,24877,1
"escape the ax",18425,1
"give (someone) the ax",36859,1
"take the/an ax to",5302,1
axiom,13670,1
axis,9363,4
axle,35961,2
aye,4641,3
azalea,72,1
AZT,12846,1
azure,10372,1
baa,36634,2
babbler,87589,1
babble,10597,2
babe,1441,2
"babe in the woods",20993,1
babel,2409,1
baboon,23991,2
"throw out the baby with the bathwater",2390,1
babyhood,111899,1
babysitter,86468,2
baccy,8587,1
bachelor,729,4
bachelorhood,102721,1
bachelorette,40986,2
bacillus,1267,1
"at/in the back of your mind",11104,1
"back is to/against the wall",42823,1
"behind someone's back",29535,1
"break the back of",29526,1
"get your back up",40155,1
"on the back of",37274,1
"put someone's back up",29489,1
"put your back into",1223,1
"see the back of",313,1
"watch someone's back",35988,1
backache,11186,1
backbench,26608,1
backbencher,86476,1
backbiting,23501,1
backboard,21093,1
backbone,423,3
"on the back burner",9857,1
backchat,2801,1
backcloth,22733,1
backdrop,15512,3
backer,34521,2
backfield,30754,1
backgammon,11306,2
backhand,27678,2
backhander,40553,1
backhoe,1450,1
backlash,34364,1
backlog,40042,1
"back matter",7237,1
"the back of beyond",27767,1
backpack,3558,2
backpacker,86478,1
backrest,11285,1
backseat,16688,2
backside,43041,3
backslapping,37012,1
backslapper,86480,1
backslash,36607,1
backslider,85088,1
backspace,15952,1
backspin,21879,1
backstabbing,13190,2
backstop,8479,1
backstraight,14436,1
backstreet,10423,2
backstretch,37233,1
backstroke,26402,2
backswing,3441,1
backup,9170,4
backwardness,94221,1
backwater,42574,1
backwoods,39810,1
backwoodsman,4451,1
backyard,26844,4
bacon,14129,4
"bring home the bacon",39582,1
bacteriology,4335,1
bacteriologist,86482,1
bacterium,15451,1
badness,95410,2
baddie,17162,1
badge,20171,4
badger,8592,3
badlands,18516,1
badminton,28158,4
bafflement,94621,1
baffle,27681,4
bagel,29123,2
bagful,22310,1
baggage,18569,4
bagpipe,17521,1
baguette,40932,1
bail,3151,4
bailiff,32390,2
bailout,21623,1
bairn,36373,1
bait,14388,4
baker,24287,2
bakery,10917,4
balaclava,11361,1
balcony,29042,4
baldness,112174,2
balderdash,38452,1
bale,5968,2
balk,8821,2
"get/set/start the ball rolling",29722,1
"keep the ball rolling",30847,1
"keep your eye on the ball",37997,1
"the ball is in your court",7180,1
ballad,9505,1
ballast,22533,2
ballerina,23406,2
ballet,904,4
ballistics,18079,2
balloon,27218,4
"go over like a lead balloon",33377,1
ballooning,6593,1
balloonist,86561,1
"balloon payment",971,1
ballot,3704,4
"stuff the ballot box",36282,1
balloting,25695,1
ballpark,22397,2
ballplayer,26218,2
ballroom,3755,3
ballyhoo,31657,1
balm,19225,2
baloney,32283,2
balsa,37317,1
balsam,10732,1
"balsam fir",15071,1
baluster,10935,1
balustrade,39797,1
bam,30612,2
bamboo,14601,4
ban,1056,5
banality,9141,2
"to beat the band",25090,1
bandage,5088,4
bandanna,5523,1
bandit,22252,2
banditry,108409,1
bandleader,18777,1
bandmaster,35426,1
bandolier,10748,1
bandsman,20714,1
bandstand,29777,1
bandwagon,34191,2
bandwidth,1203,1
bane,38695,2
bang,2984,4
"bang for the buck",40348,1
"get a bang out of",9905,1
banger,38091,1
bangle,19384,1
bangs,38696,2
banishment,103972,1
banister,20088,2
banjo,32150,2
bankbook,9597,1
banker,1261,4
"banker's card",39115,1
banknote,26232,4
bankroll,28469,2
bankrupt,16950,4
bankruptcy,11928,4
banner,565,4
banns,17965,1
banquet,41153,4
banshee,41528,2
bantam,42881,1
bantamweight,18873,1
banter,33910,2
banyan,11712,1
bap,5259,1
baptism,18426,3
Baptist,10224,1
barb,42746,2
barbarian,2085,2
barbarism,8186,1
barbarity,37353,1
barbarousness,90187,1
barbecue,41035,4
barbell,37071,1
barber,21881,4
barbershop,4852,2
barbie,12109,1
barbiturate,31055,1
barbwire,35539,1
bard,8998,2
bareness,91331,1
barfly,17741,1
bargain,3637,4
"drive a hard bargain",5661,1
bargainer,85374,1
bargaining,106561,3
barge,5254,4
bargepole,28869,1
barista,26034,1
baritone,4649,1
barium,21355,2
bark,5085,4
barkeep,39616,2
barker,17067,2
barley,30889,3
barmaid,31197,2
barman,8128,3
barn,117,4
barnacle,39418,2
barnyard,11981,2
barometer,27671,4
baron,5792,3
baroness,17031,2
baronet,12769,2
baronetcy,98472,1
barony,13792,1
barracking,107996,1
barracks,20845,4
barracuda,647,2
barrage,4502,3
barrel,6272,4
"a barrel of laughs",9101,1
"more fun than a barrel (full) of monkeys",42200,1
barrenness,97419,1
barrette,39986,1
barricade,3998,2
barrier,9902,5
"barrier reef",22079,1
barrio,22959,2
barrister,39739,3
barroom,25294,2
barrow,5247,2
bartender,1604,2
barter,6119,2
basalt,37806,1
"cover all the bases",7246,1
"touch all the bases",1986,1
baseness,90370,1
baseboard,1486,1
baseline,7568,3
basement,24181,4
"base on balls",34728,1
"base path",9877,1
bash,4584,2
"have a bash at",12144,1
bashfulness,103737,1
"get/go back to (the) basics",37868,1
basil,6433,2
basilica,23502,1
basilisk,24776,1
basin,9303,4
basket,15135,4
basketful,97623,1
basketry,17322,1
basketwork,43121,1
"bas mitzvah",18247,1
bass,5273,4
bassinet,7456,2
bassist,14777,1
bassoon,22232,2
bassoonist,86552,1
bastion,15097,1
bat,4555,4
"go to bat for",26318,1
"off your own bat",32618,1
batboy,40467,1
batch,17749,4
bather,85453,1
bathing,107139,3
bathe,288,4
bathhouse,12471,1
bathos,34892,1
bathrobe,38486,2
"go to the bathroom",17136,1
bathtub,11570,2
bathwater,24390,1
baton,31705,2
batsman,15303,3
battalion,14295,4
batten,27877,1
batter,7930,4
battering,19824,2
battery,1933,5
"in the heat of (the) battle",19734,1
battle-ax,29188,1
battlefield,34699,3
battleground,17179,2
battlement,15177,1
battleship,9491,2
bauble,3356,2
bauxite,12415,1
bay,7252,4
bayonet,7759,2
bayou,35160,2
bazaar,18936,2
bazooka,32659,2
b-ball,6831,1
"BB gun",30768,1
"beach buggy",15462,1
beachcomber,12160,1
beachfront,7849,1
beachhead,30406,1
beachwear,17184,1
beacon,41120,2
bead,17947,4
"draw a bead on",8456,1
beading,10547,1
beadwork,38043,1
beagle,8145,2
beak,13040,4
beaker,1205,1
"the be-all and end-all",30399,1
beam,5913,4
bean,1431,5
"not know beans about",10328,1
beanbag,20550,2
beanie,13905,2
beanpole,3780,1
beard,31818,4
bearer,3428,2
"get/find your bearings",22344,1
bearskin,3384,1
beast,385,4
beastliness,90267,1
beater,42217,2
beatification,102225,1
beatnik,30217,2
beau,35358,2
beaut,32891,1
beautician,5239,1
beautification,107279,1
"the beauty part",33516,1
beaver,34792,2
bebop,16510,1
beck,32617,2
"at someone's beck and call",23001,1
"get up on the wrong side of the bed",16060,1
"make your bed and lie in it",3272,1
bedbug,7349,2
bedchamber,2572,1
bedclothes,8525,1
bedcover,6267,1
bedfellow,9404,1
bedhead,34547,1
bedlam,28357,2
Bedouin,10786,1
bedpan,12684,2
bedpost,26659,1
bedrock,9288,2
bedroll,22048,1
bedsheet,21583,1
bedside,25939,3
bedsit,15383,1
bedsore,9373,1
bedspread,38155,2
bedstead,23321,1
bedtime,40000,2
bee,4336,5
"(as) busy as a bee",6829,1
"have a bee in your bonnet",3782,1
"the Beeb",15628,1
beech,31697,3
beef,6877,5
beefburger,7515,1
beefcake,781,2
Beefeater,25322,1
beefsteak,39501,1
beehive,5377,1
beekeeper,8341,1
beekeeping,108847,1
"make a beeline for",23922,1
beep,7607,2
beeper,17896,2
beeswax,27736,2
"none of your beeswax",41864,1
beet,16069,1
beetle,21463,4
beetroot,34430,1
begetter,88133,1
beggar,5180,4
"beggars can't be choosers",1616,1
beginner,40029,3
begonia,6411,1
behalf,97291,4
"on behalf of someone",9566,1
behemoth,13766,1
behest,106515,1
"at the behest of someone",31441,1
beholder,86650,1
beige,7715,2
belfry,38538,1
"bats in the/your belfry",30733,1
"to the best of your belief",25659,1
believer,86618,3
belittling,92807,1
"give (someone) a bell",36141,1
"have/get your bell rung",27450,1
belladonna,6322,1
bellboy,13779,2
belle,35783,2
bellhop,42907,1
bellicosity,91737,1
belligerence,91744,1
belligerent,23239,2
bellows,31820,1
bellwether,14092,1
belly,1497,4
bellyache,20336,1
abandoned,2600,3
abashed,2108,1
aberrant,6692,1
abhorrent,40948,1
abiding,4379,2
abject,1171,1
ablaze,27523,2
abnormal,6630,4
abominable,6523,2
abortive,43061,3
aboveboard,23282,2
aboveground,1881,1
abridged,95816,1
abrupt,31789,4
abscessed,104914,1
absentminded,27192,1
absolute,21144,5
absorbable,95847,1
absorbing,90195,3
absorbent,39999,2
abstemious,33997,1
abstruse,8435,1
absurd,6918,4
abundant,6756,4
abused,95723,3
abusive,26181,4
abuzz,1108,1
abysmal,5860,2
accelerated,92993,3
accented,36166,1
accessible,11994,4
accidental,22011,4
