id,lemma
917,applause
918,apple
919,the apple of someone's eye
920,apple pie
921,as american as apple pie
922,(as) American as apple pie
923,in apple pie order
924,in apple-pie order
925,apple polisher
926,applesauce
927,appliance
928,applicability
929,applicant
930,application
931,applicator
932,applique
933,appliqué
934,appointee
935,appointment
936,apportionment
937,apposition
938,appraisal
939,appraiser
940,appreciation
941,apprehension
942,apprehensiveness
943,apprentice
944,apprenticeship
945,approach
946,approachability
947,approbation
948,appropriateness
949,appropriation
950,approval
951,on approval
952,approved school
953,approximation
954,appurtenance
955,apr
956,APR
957,apres ski
958,après-ski
959,apricot
960,april
961,April
962,april fools' day
963,April Fools' Day
964,apron
965,apron string
966,apse
967,aptness
968,aptitude
969,aqua
970,aquamarine
971,aquarium
972,aquarius
973,Aquarius
974,aqueduct
975,aquifer
976,arab
977,Arab
978,arabesque
979,arabian horse
980,Arabian horse
981,arabic
982,Arabic
983,arabic numeral
984,Arabic numeral
985,arachnid
986,arbiter
987,arbitrage
988,arbitrageur
989,arbitrager
990,arbitrariness
991,arbitration
992,arbitrator
993,arbor
994,arboretum
995,arc
996,arcade
997,arcadia
998,arch
999,archness
1000,archaeology
1001,archaeologist
1002,archeologist
1003,archaism
1004,archangel
1006,archbishopric
1007,archconservative
1008,archdeacon
1009,archdiocese
1010,archduchess
1011,archduke
1012,archenemy
1013,archer
1014,archery
1015,archetype
1016,archipelago
1017,architect
1018,architecture
1019,archive
1020,archivist
1021,archrival
1022,archway
1023,the arctic circle
1024,the Arctic Circle
1025,ardor
1026,arduousness
1028,in the area of
1029,area code
1030,arena
1031,arena football
1032,argon
1033,argot
1034,arguer
1035,argument
1036,argumentation
1037,argy bargy
1038,argy-bargy
1039,aria
1040,aridity
1041,aries
1042,Aries
1043,aristocracy
1044,aristocrat
1045,arithmetic
1046,ark
1047,Ark
1048,arm
1049,an arm and a leg
1050,arm in arm
1051,at arm's length
1052,the long arm of the law
1053,with open arms
1054,call to arms
1055,in arms
1056,lay down your arms
1058,take up arms
1059,under arms
1060,up in arms
1061,armada
1062,armadillo
1063,armageddon
1064,Armageddon
1065,armament
1066,armature
1067,armband
1068,armchair
1069,armed forces
1070,armful
1071,armhole
1072,armistice
1073,armistice day
1074,Armistice Day
1075,armload
1076,armoire
1077,armor
1079,armory
1080,armpit
1081,armrest
1082,arms race
1083,arm twisting
1084,arm-twisting
1085,arm wrestling
1086,army
1087,aroma
1088,aromatherapy
1089,arousal
1090,arpeggio
1091,arraignment
1092,arranged marriage
1093,arrangement
1094,arranger
1095,array
1096,arrears
1097,arrest
1098,arrival
1099,arrogance
1100,arrow
1101,arrowhead
1102,arrowroot
1105,arsenal
1106,arsenic
1107,arson
1108,arsonist
1109,art
1110,art deco
1111,arteriosclerosis
1112,artery
1113,artesian well
1114,artfulness
1115,art house
1116,arthritis
1117,arthritic
1118,artichoke
1119,article
1120,articulateness
1121,articulation
1122,artifact
1123,artifice
1124,artificiality
1125,artificial insemination
1126,artificial intelligence
1127,artificial respiration
1128,artillery
1129,artisan
1130,artist
1131,artiste
1132,artistry
1133,artlessness
1134,art nouveau
1135,arts and crafts
1136,art theater
1137,artwork
1138,arugula
1139,asbestos
1140,ascendance
1141,ascendancy
1142,in the ascendant
1143,ascension
1144,ascent
1145,asceticism
1146,ascii
1147,ASCII
1148,ascot
1149,ash
1150,ash can
1152,ashtray
1153,ash wednesday
1154,Ash Wednesday
1155,asian
1156,Asian
1157,asian american
1158,Asian-American
1159,aside
1160,asking price
1161,asp
1162,asparagus
1163,aspect
1164,aspect ratio
1165,aspen
1166,asperity
1167,cast aspersions
1168,asphalt
1169,asphyxia
1170,asphyxiation
1171,aspic
1172,aspirant
1173,aspirate
1174,aspiration
1175,aspirin
1177,assailant
1178,assassin
1179,assassination
1185,assemblage
1186,assembly
1187,assembly line
1188,assemblyman
1189,assemblywoman
1190,assertion
1191,assertiveness
1192,assessment
1193,assessor
1194,asset
1195,asset stripping
1196,asset-stripping
1197,asshole
1198,assiduity
1199,assiduousness
1200,assignor
1201,assignation
1202,assignment
1203,assimilation
1204,assist
1205,assistance
1206,assistant
1207,assistant professor
1208,assisted living
1209,assisted suicide
1210,associate
1211,associate professor
1212,associate's degree
1213,association
1214,association football
1215,Association football
1216,assonance
1217,assortment
1218,assumption
